Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Se reunió el Máximo Órgano Social para considerar los estados financieros,Valor de las utilidades decretadas en miles de pesos (ejercicio inmediatamente anterior),Razón social de la sociedad,Objeto social principal,Clasificación Industrial Internacional Uniforme Versión 4 A.C,Corte de cuentas según estatutos,Fecha de constitución (Aaaa-Mm-Dd),Fecha de vencimiento (Aaaa-Mm-Dd),Estado actual,Tipo societario,La sociedad es,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección de notificación judicial,Ciudad de la dirección de notificación judicial,Dirección del domicilio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Teléfono del domicilio,Celular corporativo,E-mail de la sociedad,Matricula mercantil número,Domicilio casa matriz sucursal de sociedad extranjera,País del domicilio casa matriz sucursal de sociedad extranjera,La compañía está obligada a tener Revisor fiscal?,El Revisor fiscal pertenece a una firma?,A que firma pertenece el Revisor Fiscal?,Los estados finacieros estan acompañados del dictamen del revisor fiscal?,Concepto del Revisor fiscal en su informe,Estos estados financieros presentan información reexpresada?,La información reexpresada corresponde a:,Reexpresión según normatividad que aplique,"La Entidad posee inversiones en subsidiarias, asociadas y/o negocios conjuntos?"
148221,900400135,12/31/2019,50 NIIF Pymes - Separados,Si,,AUSTRAL LENS COLOMBIA SAS,COMERCIO E IMPORTACIÒN DE LENTES OPTICOS Y MAQUINARIA RELACIONADA CON LA INDUSTRIA,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,01. ANUAL,12/9/2010,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CARRERA 57 17 73,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,CARRERA 57 17 73,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,4660674,3182899735,gte.financiero@australlens.com,2049297,,,Si,Si,GERENCIA CONTABLE CONTADORES ASESORES SAS,Si,03. LIMPIO,No,,,Si
148225,900449939,12/31/2019,50 NIIF Pymes - Separados,Si,,JMS CONSTRUCTORES SAS,CONSTRUCCION DE OBRAS DE INGENIERIA CIVIL E INFRAESTRUCTURA,F4390 - Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil,01. ANUAL,6/22/2011,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CALLE 15 # 40-01 OFICINA 902 CC PRIMAVERA URBANA,META,VILLAVICENCIO-META,CALLE 15 # 40-01 OFICINA 902 CC PRIMAVERA URBANA,META,VILLAVICENCIO-META,6833789,3166990891,info@jmsconstructores.com,218237,,,Si,No,,Si,03. LIMPIO,No,,,Si
148232,900575406,12/31/2019,50 NIIF Pymes - Separados,No,,CASIES SAS,"Otras actividades profesionales, científicas y técnicas n.c.p.","M7490 - Otras actividades profesionales, científicas y técnicas n.c.p.",01. ANUAL,11/30/2011,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 43 A 1 SUR 29 INT 301 ,ANTIOQUIA,MEDELLIN-ANTIOQUIA,CR 43 A 1 SUR 29 INT 301 ,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3110816,3148302346,casies@une.net.co,2147935512,,,Si,No,,Si,03. LIMPIO,No,,,Si
148262,800051984,12/31/2019,50 NIIF Pymes - Separados,Si,,CG CONSTRUCTORA SAS,CONSTRUCCION DE EDIFICACIONES RESIDENCIALES,F4111 - Construcción de edificios residenciales,01. ANUAL,12/28/1988,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,05. FACTORING,CALLE  23 21-41 OF 1005 ,CALDAS,MANIZALES-CALDAS,CALLE  23 21-41 OF 1005 ,CALDAS,MANIZALES-CALDAS,8841133,3103916597,cgconstructora@gmail.com ,46219,,,Si,No,,Si,03. LIMPIO,No,,,Si
148398,830006910,12/31/2019,50 NIIF Pymes - Separados,Si,,GENERACION COLOMBIA SAS,"LA SOCIEDAD TENDRÁ POR OBJETO SOCIAL PRINCIPAL: LA REALIZACIÓN DE TODA ACTIVIDAD RELACIONADA CON LA FABRICACIÓN, MERCADEO Y EXPLOTACIÓN DE TODO TIPO DE ACTIVIDADES EN LA INDUSTRIA DE ALIMENTOS, SU REPRESENTACIÓN, TRANSFORMACIÓN Y VENTA, PROMOCIÓN, ENSAMBLAJE, EMPAQUE, REPRESENTACIÓN, MERCADEO Y COMERCIO EXTERIOR DE PRODUCTOS ALIMENTICIOS, AL IGUAL QUE SUS PARTES, TODO LO REFERENTE AL MONTAJE, EXPORTACIÓN E IMPORTACIÓN DE INDUSTRIAS ALIMENTICIAS, RESTAURANTES, CASINOS, CLUBES Y MAQUINARIA PARA LA INDUSTRIA DE ALIMENTOS, AL IGUAL QUE SUS PARTES, PODRÁ IMPORTAR Y EXPORTAR EQUIPOS AL IGUAL QUE PRODUCTOS PARA LA BUENA PRESTACIÓN DE LOS SERVICIOS Y DESARROLLAR ACTIVIDADES COMPLEMENTARIAS Y CONEXAS DEL OBJETO SOCIAL, PODRÁ LA SOCIEDAD TAMBIÉN DESALa sociedad tendrá por objeto social principal: la realización de toda actividad relacionada con la fabricación, mercadeo y explotación de todo tipo de actividades en la industria de alimentos, su representación, transformación y venta, promoción, ensamblaje, empaque, representación, mercadeo y comercio exterior de productos alimenticios, al igual que sus partes, todo lo referente al montaje, exportación e importación de industrias alimenticias, restaurantes, casinos, clubes y maquinaria para la industria de alimentos, al igual que sus partes, podrá importar y exportar equipos al igual que productos para la buena prestación de los servicios y desarrollar actividades complementarias y conexas del objeto social, podrá la sociedad también desarrollar las actividades que tiene como fin prestar el servicio de aseo, el de mantenimiento en general de equipos de oficina, prestación de servicios de pintura, plomería, electricidad, carpintería, prestación de los servicios de mensajería, recepción, construcción, jardinería y administración general de las actividades relacionadas con la administración de edificios sujetos o no al régimen de propiedad horizontal para lo que podrá desarrollar las actividades directiva administrativas y operativas que consideren pertinentes para la adecuada administración de los inmuebles cuya administración se le confié y el establecimiento de almacenes y agencias para el expendio de artículos alimenticios o de limpieza, al igual que la importación y venta de los mismos, fabricación y venta de ceras para pisos, jabones y demás elemento necesarios para el aseo, como los demás artículos relacionados con los servicios prestados, la importación y exportación, compra y venta de los equipos necesarios para la prestación de los servicios de lavandería y aseo, como la importación y exportación de todos los artículos, o servicios relacionados con el objeto social, la representación de negocios de tal naturaleza en el territorio nacional o en el exterior.  ACTIVIDADES RELACIONADAS CON LA ADMINISTRACIÓN DE EDIFICIOS SUJETOS O NO AL RÉGIMEN DE PROPIEDAD HORIZONTAL PARA LO QUE PODRÁ DESARROLLAR LAS ACTIVIDADES DIRECTIVA ADMINISTRATIVAS Y OPERATIVAS QUE CONSIDEREN PERTINENTES PARA LA ADECUADA ADMINISTRACIÓN DE LOS INMUEBLES CUYA ADMINISTRACIÓN SE LE CONFIÉ Y EL ESTABLECIMIENTO DE ALMACENES Y AGENCIAS PARA EL EXPENDIO DE ARTÍCULOS ALIMENTICIOS O DE LIMPIEZA, AL IGUAL QUE LA IMPORTACIÓN Y VENTA DE LOS MISMOS, FABRICACIÓN Y VENTA DE CERAS PARA PISOS, JABONES Y DEMÁS ELEMENTO NECESARIOS PARA EL ASEO, COMO LOS DEMÁS ARTÍCULOS RELACIONADOS CON LOS SERVICIOS PRESTADOS, LA IMPORTACIÓN Y EXPORTACIÓN, COMPRA Y VENTA DE LOS EQUIPOS NECESARIOS PARA LA PRESTACIÓN DE LOS SERVICIOS DE LAVANDERÍA Y ASEO,",I5629 - Actividades de otros servicios de comidas,01. ANUAL,7/21/1995,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CL 114 4 74 ,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,CL 114 4 74,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,6498973,3117195258,gerencia@generacioncolombia.com,2265689,,,Si,No,,Si,03. LIMPIO,No,,,Si
148400,891903403,12/31/2019,50 NIIF Pymes - Separados,No,,MAZCO BOGOTA SAS,VENTA DE VEHICULOS SERVICIOS Y REPUESTOS,G4511 - Comercio de vehículos automotores nuevos,01. ANUAL,3/30/1983,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,AK 70 N 95 15,BOGOTA D.C.,SUBA-BOGOTA D.C.,AK 70 N 95 15,BOGOTA D.C.,SUBA-BOGOTA D.C.,6529666,3124796727,contabilidad@mazco.com.co,224528,,,Si,No,,Si,03. LIMPIO,No,,,Si
149455,813001526,12/31/2019,50 NIIF Pymes - Separados,Si,,GLOBAL DE COLOMBIA SAS,Realizacion en general y comercializacion de obras de construccion,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. ANUAL,12/27/1996,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,AV 26 No 35-96,HUILA,NEIVA-HUILA,CLL 140 No 6-15 AP 2 201,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,0,3133935555,contabilidad@globaldecolombia.com.co,1829939,,,Si,Si,COMSAT,Si,03. LIMPIO,No,,,Si
149556,890905893,12/31/2019,50 NIIF Pymes - Separados,Si,,SULFOQUIMICA S.A.,PRODUCCION Y COMERCIALIZACION DE PRODUCTOS QUIMICOS,C2029 - Fabricación de otros productos químicos n.c.p.,01. ANUAL,8/6/1976,8/5/2026,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CLL 55 46 85,ANTIOQUIA,ITAGUI-ANTIOQUIA,3701170,ANTIOQUIA,ITAGUI-ANTIOQUIA,3701170,3206326640,MGIRALDO@SULFOQUIMICA.COM,3014,,,Si,No,,Si,03. LIMPIO,No,,,Si
149609,891100247,12/31/2019,50 NIIF Pymes - Separados,Si,,CAESCA SAS,"Imporacion, compra, venta permuta, arrendamiento, alquiler y consecion de vehiculos automotores ",L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,01. ANUAL,4/19/1963,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CLL 140 No 6-15 ap 201,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,CLL 140 No 6-15 AP 201,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,0,3133935555,info@caesca.com.co,2417480,,,Si,Si,COMSAT,Si,03. LIMPIO,No,,,Si
149671,900673310,12/31/2019,50 NIIF Pymes - Separados,Si,,LOPEZ CUBILLOS CONSTRUCCIONES S.A.S. ,"CONSTRUCCION DE EDIFICIO RESIDENCIALES, OBRES CIVILES Y VIVIENDAS DE CUALQUIER TIPO, DISEÑO DE PROYECTOS ARQUITECTONICOS, ACTIVIDADES INMOBILIARIAS, COMPRAVENTA  Y COMERCIALIZACION  DE TODA CLASE DE BIENES INMUEBLES "" ",F4111 - Construcción de edificios residenciales,01. ANUAL,10/30/2013,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CALLE 38 N 32 - 41 ED PARQUE SANTANDER OFC 1005 ,META,VILLAVICENCIO-META,CALLE 38 N 32 - 41 ED PARQUE SANTANDER OFC 1005,META,VILLAVICENCIO-META,6627838,3204949955,contabilidad@incotop.com ,257598,,,Si,No,,Si,03. LIMPIO,No,,,Si
