Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Estado Verificación,Periodo,Ingresos de actividades ordinarias,Costo de ventas,Ganancia bruta,Otros ingresos,Gastos de ventas,Gastos de administración,Otros gastos,Otras ganancias (pérdidas),Ganancia (pérdida) por actividades de operación,Ingresos financieros,Costos financieros,"Participación en las ganancias (pérdidas) de subsidiarias, asociadas y negocios conjuntos que se contabilicen utilizando el método de la participación","Ganancia (pérdida), antes de impuestos",Ingreso (gasto) por impuestos,Ganancia (pérdida) procedente de operaciones continuadas,Ganancia (pérdida) procedente de operaciones discontinuadas,Ganancia (pérdida)
148221,900400135,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,12806656,7649984,5156672,40751,1449361,1768027,1572241,,407794,,,,407794,,407794,,407794
148221,900400135,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,9402224,5697572,3704652,4681,1398713,1415013,500484,,395123,,,,395123,,395123,,395123
148225,900449939,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,30726183,26447664,4278519,308,,1334457,30367,,2914003,,293713,,2620290,888406,1731884,,1731884
148225,900449939,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,8362381,6381222,1981159,87225,,899941,338920,,829523,967,480790,,349700,270292,79408,,79408
148232,900575406,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2503256,,2503256,13371061,,517524,,,15356793,8542,57146,,15308189,105018,15203171,,15203171
148232,900575406,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1011076,,1011076,67502,,9206375,,,-8127797,71538,676667,,-8732926,24508,-8757434,,-8757434
148262,800051984,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3244965,460,3244505,1914,14622,1810718,676324,,744755,,,,744755,58771,685984,,685984
148262,800051984,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,3212800,4000,3208800,22913,12268,1418680,1080974,,719791,,,,719791,152878,566913,,566913
148398,830006910,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,25470776,17380329,8090447,43120,3222,4187604,317830,6217,3631128,233792,253732,,3082913,1369690,1713223,,1713223
148398,830006910,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,33224181,26320658,6903523,42406,4709,5157027,21018,,1763175,903031,291649,,2374557,920463,1454094,,1454094
148400,891903403,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,71252639,63538883,7713756,4831714,8600731,1882446,57698,,2004595,74849,1474901,,604543,103789,500754,,500754
148400,891903403,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,63166165,55988912,7177253,4767645,7768444,1375452,630329,,2170673,42133,1284913,,927893,367686,560207,,560207
149455,813001526,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,641704,,641704,121195,,586682,85748,,90469,,,,9347723,46377,9301346,,9301346
