Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Estado Verificación,Periodo,(+/-) Ganancia (pérdida),(+/-) Ajustes por gastos por impuestos a las ganancias,( + ) Ajustes por gastos de depreciación y amortización,(+/-) Ajustes por deterioro de valor (reversiones de pérdidas por deterioro de valor) reconocidas en el resultado del periodo,(+) Ajustes por provisiones,(+) Ajustes por costos financieros,(+/-) Ajustes por pérdidas (ganancias) de moneda extranjera no realizadas,(+/-) Ajustes por pérdidas (ganancias) del valor razonable,(-) Ajustes por ganancias no distribuidas de asociadas,(+/-) Ajustes por pérdidas (ganancias) por la disposición de activos no corrientes,(+/-) Otros ajustes para conciliar la ganancia (pérdida),Total ajustes para conciliar la ganancia (pérdida),(+/-) Ajustes por disminuciones (incrementos) en los inventarios,(+/-) Ajustes por la disminución (incremento) de cuentas por cobrar de origen comercial,(+/-) Ajustes por disminuciones (incrementos) en otras cuentas por cobrar derivadas de las actividades de operación,(+/-) Ajustes por el incremento (disminución) de cuentas por pagar de origen comercial,(+/-) Ajustes por incrementos (disminuciones) en otras cuentas por pagar derivadas de las actividades de operación,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de operación,(+) Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios,(-) Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios,(+) Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades,(-) Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades,(+) Otros cobros por la venta de participaciones en negocios conjuntos,(-) Otros pagos para adquirir participaciones en negocios conjuntos,"(+) Importes procedentes de la venta de propiedades, planta y equipo","(-) Compras de propiedades, planta y equipo",(+) Importes procedentes de ventas de activos intangibles,(-) Compras de activos intangibles,(+) Recursos por ventas de otros activos a largo plazo,(-) Compras de otros activos a largo plazo,(-) Anticipos de efectivo y préstamos concedidos a terceros,(+) Cobros procedentes del reembolso de anticipos  y préstamos concedidos a terceros,"(-) Pagos derivados de contratos de futuro, a término, de opciones y de permuta financiera","(+) Cobros procedentes de contratos de futuro, a término, de opciones y de permuta financiera",(+) Dividendos recibidos,(+) Intereses recibidos,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de inversión,(+) Importes procedentes de aumento de capital y/o recolocación de acciones,(-) Disminución de capital social y/o readquisición de acciones,(-) Pagos por otras participaciones en el patrimonio,(+) Importe procedente del aumento prima por emisión,(-) Disminución de prima por emisión,(+) Importes procedentes de préstamos,(-) Reembolsos de préstamos,(-) Pagos de pasivos por arrendamientos financieros,(-) Dividendos pagados,(-) Intereses pagados,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de financiación,"Incremento (disminución) neto de efectivo y equivalentes al efectivo, antes del efecto de los cambios en la tasa de cambio",(+/-) Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo,Incremento (disminución) neto de efectivo y equivalentes al efectivo,Efectivo y equivalentes al efectivo al principio del periodo,Efectivo y equivalentes al efectivo al final del periodo
148221,900400135,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,407794,0,198527,0,0,938077,230209,0,0,0,0,1366813,317168,856807,0,3483055,0,,6431637,0,0,0,0,0,0,0,3757499,0,0,0,0,0,0,0,0,0,0,-385141,-4142640,0,0,0,0,0,0,947615,429662,0,938077,0,-2315354,-26357,,-26357,109144,82787
148225,900449939,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1731884,,159574,,,,,,,,,159574,102803,697314,,-1625907,,,1065668,,,,,,,,108842,,,,,,,,,,,,-108842,,,,,,,,,,,,,956826,,956826,429186,1386012
148232,900575406,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,15203171,10050,,,21307,,,-13296378,,,,-13265021,,-330342,317379,97648,-782579,,1240256,,,,,,,,,,,77456,,,,,,,,,77456,,,,,,,,,1018322,,352990,-665332,652380,,652380,2020903,2673283
148262,800051984,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,685984,,,,,,,,,,,,1183060,1692238,,-697313,,,2863969,,1013577,,,,,,21109,,156641,,,,,,,,,,-1191327,,,,,,2419639,,,,,,2419639,4092281,,4092281,1182713,5274994
148398,830006910,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1713223,,108315,59546,438870,,,32415,,,46793,685939,4575,107516,-190967,-1292108,519565,,1547743,,,,,,,,334821,194690,,,,,,,,,,,-140131,,,,,,135112,764197,,,,-1099,-630184,777428,0,777428,2486230,3263658
148400,891903403,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,500754,103790,711091,,,,,,,,-304169,510712,,1872150,,-797411,,3446156,5532361,,,,,,,2489543,3969951,,,,,,,,,,,9200,-1471208,,,,,,36956278,40905880,,,,,-3949602,111551,,111551,4270594,4382145
149455,813001526,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,9301346,,,,,,,,,,,,,3110340,3128559,2054,215692,-6242289,9515702,,9257254,,,,,,10980,,,,,,,,,,,,-9268234,,,,,,,198272,,,,,-198272,49196,,49196,113889,163085
149556,890905893,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1402513,672308,1092201,88701,,,,,,,-283771,1569439,-2832933,-628631,-324456,1228609,-1654087,,-1239546,,,,,,,,827423,,,155711,,,,,,,,37030,-634682,,,,,,2197265,,,,,,2197265,323037,,323037,1301341,1624378
149609,891100247,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6285651,,,,,,,,,,,,,3855554,4968801,178523,20451,-5626628,9682352,,12276766,,,,,,261691,,,,,,,,,,,,-12538457,,,,,,3201,,,,,,3201,-2852904,,-2852904,2967571,114667
149671,900673310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,516029,,31959,,,,,,,,,31959,-345558,-3535505,,,6867529,,3534454,,,,,,,96016,,,,,,,,,,,,,96016,,,,,,,1798578,,,,,-1798578,1831892,,1831892,40990,1872882
149708,900233101,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,7688753,,11989865,85006,319324,,,,,,,12394195,8381717,-6331654,,-1328747,10168048,,30972312,,,,,,,,14281527,133280,,,,,,,,,,,-14148247,,,,,,,17909929,,,,,-17909929,-1085864,,-1085864,4003281,2917417
149753,901135250,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,970994,16072,,,,,,,,,,16072,,,593447,29575,205000,-8393,1806695,,,,,,,,437434,,,,,395000,,,,,,,-832434,,,,,,,,,,,,,974261,,974261,132251,1106512
149761,800243310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-1887554,,22495,,,,,,,,-50460,-27965,,3411430,-170876,-915999,210907,,619943,196718,,,,,,,2419867,,,,,,,,,,,,-2223149,,,,,,,,,,,1396145,1396145,-207061,,-207061,314957,107896
149764,900120377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-2782328,41227,,,,5043,-145666,,-2875494,,-122169,2653929,,-46537,,-1843,,1038147,861368,,981090,,,,,,,,,,,,,,,,274919,,-706171,,,,,,,,,,,,,155197,,155197,5102,160299
149858,900444217,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-46023,0,0,0,0,0,0,0,0,0,0,0,0,496171,0,-22255,0,17559,445452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445452,,445452,256957,702409
