Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente","Activos biológicos corrientes, al costo menos depreciación acumulada y deterioro de valor","Activos biológicos corrientes, al valor razonable",Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,"Propiedades, planta y equipo",Propiedades de inversión al costo menos depreciación acumulada y deterioro,Propiedades de inversión a valor razonable con cambios en resultados,Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones en subsidiarias,Inversiones en asociadas,Inversiones en negocios conjuntos,"Activos biológicos no corrientes, al costo menos depreciación acumulada y deterioro del valor","Activos biológicos no corrientes, al valor razonable",Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Préstamos corrientes,Parte corriente de préstamos no corrientes,Otros pasivos no financieros corrientes,Total pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Parte no corriente de préstamos no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
148221,900400135,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,82787,2711330,2329039,,,,,,,,,5123156,5050166,,,,,,,,,,,,,152525,2549,,,5205240,10328396,95748,,95748,4005241,94424,2706895,2706895,,,,,6902308,,,,222040,80221,,1030757,1030757,,1333018,8235326,1000000,,,,,,47649,1045421,2093070,10328396
148221,900400135,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,109144,1940659,2011871,,,,,,,,,4061674,1292667,,,,,,,,,,,,29351,139430,52550,,,1513998,5575672,147989,,147989,522187,170445,2188942,2188942,,,,,3029563,,,,259738,,,601095,601095,,860833,3890396,1000000,,,,,,47649,637627,1685276,5575672
148225,900449939,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1386012,3786498,,,,,1282861,,,,,6455371,1795864,966717,466570,,,,,,,,,,,,,,,3229151,9684522,61174,,61174,112078,139418,754926,754926,,1282860,,,2350456,,,,,57400,,,,,57400,2407856,1000000,,,,,,449372,5827294,7276666,9684522
148225,900449939,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,429186,5766673,102803,,,,,,,,,6298662,1826209,987104,466570,,,,,,,,,,,,,,,3279883,9578545,43099,,43099,173426,133059,807998,807998,,618924,,,1776506,,,,153207,48893,,2055157,2055157,,2257257,4033763,1000000,,,,,,441431,4103351,5544782,9578545
148232,900575406,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,2673283,1049301,,,,,,,,,,3722584,,,944814,,,,,,,,,,,,58701933,,,59646747,63369331,,,,215306,10934,,,,,,,226240,,,,,59864,,,,24145,84009,310249,758999,,,,,35350341,2102353,24847389,63059082,63369331
148232,900575406,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,2020903,401579,,,,,,,,,,2422482,,,1022271,,,,,,,,,,406,,45817226,,,46839903,49262385,,,,997788,884,,,,,,,998672,,,,,38150,,,,272730,310880,1309552,758999,,,,,34987371,3120675,9085788,47952833,49262385
148262,800051984,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,5274994,1401700,1470026,,,,,,,,,13715397,957727,,3523840,,,,,,,,,,195208,,,,,4676775,18392172,93007,,93007,139458,64098,2516268,2516268,,1542629,,,4355460,,,,,,,,,2413348,2413348,6768808,3000000,,,,,,1153241,7470123,11623364,18392172
148262,800051984,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,1182713,3093937,2653086,,,,,,,,,11484836,2108209,,2412840,,,,,,,,,,69175,,,,,4590224,16075060,91339,,91339,836771,156964,2011782,2011782,,374267,,,3471123,,,,,,,,,1666557,1666557,5137680,3000000,,,,,,1096550,6840830,10937380,16075060
148398,830006910,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,3263658,4391791,13355,1265120,0,0,326010,24452,,,,9284386,438888,0,,,,,13600,,,,1529866,,,,,,,1982354,11266740,,,,856327,1488942,486838,486838,,0,,,2832107,,438275,438275,365017,4651,,135112,135112,,943055,3775162,262600,,34138,,,,297227,6965889,7491578,11266740
148398,830006910,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,2486230,4350428,17930,523843,0,0,47807,144550,,,,7570788,277072,130000,,,,,102500,,,,2435914,,,,,,,2945486,10516274,,,,2273439,264444,385124,385124,,14350,,,2937357,,,,930595,4056,,865911,865911,,1800562,4737919,262600,,34138,,,,297227,5252666,5778355,10516274
