Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Estado Verificación,Periodo,Ganancia (pérdida),"Otro resultado integral, neto de impuestos, diferencias de cambio por conversión","Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos","Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación","Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos","Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos","Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos","Participación de otro resultado integral de subsidiarias, asociadas y negocios conjuntos contabilizados utilizando el método de la participación que se reclasificará al resultado del periodo, neto de impuestos",Total otro resultado integral,Resultado integral total
148221,900400135,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,407794,0,0,0,0,0,0,,0,407794
148221,900400135,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,395123,0,0,0,0,0,0,,0,395123
148225,900449939,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1731884,,,,,,,,,
148225,900449939,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,79408,,,,,,,,,
148232,900575406,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,15203171,,,362970,362970,,,,362970,15566141
148232,900575406,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-8757434,,,14954834,14954834,,,,14954834,6197400
148262,800051984,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,685984,,,,,,,,,
148262,800051984,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,566913,,,,,,,,,
148398,830006910,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1713223,,,,,,,,,
148398,830006910,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1454094,,,,,,,,,
148400,891903403,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,500754,,,-47860,-47860,,,,-47860,452894
148400,891903403,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,560207,,,,,,,,,560207
149455,813001526,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,9301346,,,,,,,,,
149455,813001526,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,86160436,,,,,,,,,
149556,890905893,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1402513,,,,,,,,,
149556,890905893,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1277117,,,,,,,,,
149609,891100247,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6285651,,,,,,,,,
149609,891100247,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2099505,,,,,,,,,
149671,900673310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,516029,,,,,,,,,
149671,900673310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,190557,,,,,,,,,
149708,900233101,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,7688753,,,,,,,,,
149708,900233101,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,14469669,,,,,,,,,
149753,901135250,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,970994,,,,,0,0,,0,970994
149753,901135250,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1106104,,,,,0,0,,0,1106104
149761,800243310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-1887554,,,,,,,,,
149761,800243310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-4987085,,,,,,,,,
149764,900120377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-2782328,0,0,0,0,0,0,,0,-2782328
149764,900120377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-4988796,0,0,0,0,0,0,,0,-4988796
149858,900444217,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-46023,0,0,0,0,0,0,,0,-46023
149858,900444217,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,3225,0,0,0,0,0,0,,0,3225
149895,860076008,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,4344763,,,,,,,,,4344763
149895,860076008,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,4021099,,,,,,,,,4021099
149935,900357074,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,118277,0,0,0,0,,,,0,118277
149935,900357074,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-150395,0,0,0,0,,,,0,-150395
150001,804006377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-43844,,,,,,,,,-43844
150001,804006377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,6464,,,,,,,,,6464
150044,900185065,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-263769,,,,,,,,,-263769
150044,900185065,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-66338,,,,,,,,,-66338
150047,900385903,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-397548,,,,,,,,,
150047,900385903,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-162476,,,,,,,,,
150056,900186312,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,41732,,,,,,,,,
150056,900186312,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-1897348,,,,,,,,,
150087,900761148,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,176485,,,,,,,,,176485
150087,900761148,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,207695,,,,,,,,,207695
150093,890917119,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-217681,,,,,,,,,
