Ganancia bruta,"Ganancia (pérdida), antes de impuestos",Efectivo y equivalentes al efectivo,Gastos de administración,Total de activos,Total pasivos,Razón de la Deuda/Ingresos (%),Ganancias acumuladas,Ganancia (pérdida),Impago
5156672,407794,82787,1768027,10328396,8235326,0.7973480103,1045421,407794,0
3704652,395123,109144,1415013,5575672,3890396,0.6977447741,637627,395123,1
4278519,2620290,1386012,1334457,9684522,2407856,0.2486293077,5827294,1731884,1
1981159,349700,429186,899941,9578545,4033763,0.4211248159,4103351,79408,1
2503256,15308189,2673283,517524,63369331,310249,0.004895885677,24847389,15203171,1
1011076,-8732926,2020903,9206375,49262385,1309552,0.02658320339,9085788,-8757434,1
3244505,744755,5274994,1810718,18392172,6768808,0.3680265713,7470123,685984,1
3208800,719791,1182713,1418680,16075060,5137680,0.31960565,6840830,566913,1
8090447,3082913,3263658,4187604,11266740,3775162,0.3350713694,6965889,1713223,1
6903523,2374557,2486230,5157027,10516274,4737919,0.4505320991,5252666,1454094,1
7713756,604543,4382145,1882446,28299814,12451303,0.4399782628,2750741,500754,1
7177253,927893,4270594,1375452,34984665,19589048,0.5599324161,2306008,560207,0
641704,9347723,163085,586682,107653759,647633,0.0060158884,99085803,9301346,1
1313617,86294979,113889,959474,104231103,6526323,0.0626139685,91735384,86160436,1
17808074,2074820,1624378,4072710,38580892,18728351,0.4854307412,5054009,1402513,1
17400535,2497576,1301341,3967867,34695040,16245012,0.468222893,4928614,1277117,1
1964031,6365798,114667,1857233,70285631,1127796,0.01604589706,51595984,6285651,1
6414199,2462588,2967571,2648594,66391171,3522186,0.05305202404,45310333,2099505,1
960970,805954,1872882,152282,10527230,8647400,0.8214316587,1391039,516029,1
466791,305153,40990,95959,4942250,3578449,0.7240526076,886317,190557,0
56764520,12595668,2917417,10987981,262141143,163309380,0.622982635,33167908,7688753,0
61034187,16865832,4003281,10520396,262958299,171815288,0.6533936698,25479156,14469669,0
